ds,y
2020-08-20,2.5
2020-08-21,6.5
2020-08-22,11.0
2020-08-23,7.0
2020-08-25,1.5
2020-08-26,2.5
2020-08-28,2.5
2020-08-30,5.5
2020-09-01,1.0
2020-09-03,2.5
2020-09-04,3.0
2020-09-05,7.0
2020-09-06,4.5
2020-09-09,2.0
2020-09-10,1.5
2020-09-11,6.0
2020-09-12,8.5
2020-09-13,8.5
2020-09-15,1.0
2020-09-16,3.5
2020-09-17,0.5
2020-09-19,8.5
2020-09-21,3.5
2020-09-22,2.5
2020-09-24,4.0
2020-09-25,4.0
2020-09-26,6.5
2020-09-27,7.5
2020-09-28,0.5
2020-09-29,1.0
2020-09-30,1.5
2020-10-01,3.5
2020-10-02,5.5
2020-10-03,6.0
2020-10-04,7.0
2020-10-08,3.5
2020-10-10,9.5
2020-10-11,6.0
2020-10-14,1.5
2020-10-16,7.0
2020-10-17,7.0
2020-10-18,8.0
2020-10-21,2.0
2020-10-22,1.5
2020-10-23,6.5
2020-10-24,6.0
2020-10-25,10.0
2020-10-29,2.0
2020-10-30,5.5
2020-10-31,9.5
2020-11-01,7.5
2020-11-04,2.5
2020-11-06,7.5
2020-11-07,4.0
2020-11-08,8.5
2020-11-10,2.0
2020-11-11,3.0
2020-11-12,2.5
2020-11-13,2.5
2020-11-14,14.5
2020-11-17,3.5
2020-11-18,2.0
2020-11-19,3.5
2020-11-20,4.0
2020-11-21,2.5
2020-11-22,8.5
2020-11-23,1.5
2020-11-24,2.5
2020-11-25,1.0
2020-11-26,3.0
2020-11-27,3.5
2020-11-28,6.5
2020-11-30,1.5
2020-12-01,0.5
2020-12-02,2.0
2020-12-03,3.0
2020-12-04,4.5
2020-12-05,8.5
2020-12-06,6.0
2020-12-07,2.0
2020-12-08,2.0
2020-12-10,3.0
2020-12-11,5.0
2020-12-12,7.5
2020-12-13,4.5
2020-12-14,4.0
2020-12-15,1.0
2020-12-17,2.0
2020-12-18,3.5
2020-12-19,6.5
2020-12-20,6.5
2020-12-21,3.0
2020-12-22,3.5
2020-12-23,2.0
2020-12-24,6.0
2020-12-25,4.5
2020-12-26,5.5
2020-12-27,10.0
2020-12-28,8.0
2020-12-29,3.0
2020-12-30,1.5
2020-12-31,9.0
2018-01-29,2.0
2018-01-31,1.0
2018-02-22,4.0
2018-03-07,1.0
2018-03-08,3.0
2018-03-13,1.0
2018-03-15,1.0
2018-04-02,1.0
