ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-02-28,5.3800751790750105,3.3134321399045548,7.037288030294207,5.306395116106982,5.454546268235443,-0.03991283020264268,-0.03991283020264268,-0.03991283020264268,-0.03991283020264268,-0.03991283020264268,-0.03991283020264268,0.0,0.0,0.0,5.165341151975137
2021-03-01,5.380036426886345,3.846417693570077,7.5105983417320035,5.306248674645437,5.454688666953557,0.0422429734590756,0.0422429734590756,0.0422429734590756,0.0422429734590756,0.0422429734590756,0.0422429734590756,0.0,0.0,0.0,5.607305162876166
2021-03-02,5.37999767469768,2.951151535668054,6.641219152340425,5.306108213670444,5.454885417795037,-0.10451744233449356,-0.10451744233449356,-0.10451744233449356,-0.10451744233449356,-0.10451744233449356,-0.10451744233449356,0.0,0.0,0.0,4.817694077972756
2021-03-03,5.379958922509016,3.5269803454394766,7.139804252510913,5.305981980440536,5.455082168636516,-0.0041839072738719466,-0.0041839072738719466,-0.0041839072738719466,-0.0041839072738719466,-0.0041839072738719466,-0.0041839072738719466,0.0,0.0,0.0,5.357449673239998
2021-03-04,5.379920170320352,3.5240069343192575,7.064018505185146,5.305855747210628,5.455271308574248,-0.015807238201118363,-0.015807238201118363,-0.015807238201118363,-0.015807238201118363,-0.015807238201118363,-0.015807238201118363,0.0,0.0,0.0,5.294878490685097
2021-03-05,5.379881418131687,4.067418730838784,7.505294053606693,5.30572951398072,5.4554545616561105,0.07983793177787725,0.07983793177787725,0.07983793177787725,0.07983793177787725,0.07983793177787725,0.07983793177787725,0.0,0.0,0.0,5.809400023765554
2021-03-06,5.379842665943022,3.8290892190102452,7.3921054571555365,5.305503660356454,5.455637814737975,0.04234051277454968,0.04234051277454968,0.04234051277454968,0.04234051277454968,0.04234051277454968,0.04234051277454968,0.0,0.0,0.0,5.6076279630654495
2021-03-07,5.379803913754357,3.2365763735330497,6.889114585437477,5.305437370325938,5.455670569197676,-0.03991283020239938,-0.03991283020239938,-0.03991283020239938,-0.03991283020239938,-0.03991283020239938,-0.03991283020239938,0.0,0.0,0.0,5.165080713622476
2021-03-08,5.379765161565693,3.7722956681581805,7.451696515568427,5.305286598758473,5.455702810216713,0.042242973459101926,0.042242973459101926,0.042242973459101926,0.042242973459101926,0.042242973459101926,0.042242973459101926,0.0,0.0,0.0,5.607022438501914
2021-03-09,5.379726409377028,3.103963052174983,6.590244993811289,5.305130230220426,5.455905724239483,-0.10451744233452384,-0.10451744233452384,-0.10451744233452384,-0.10451744233452384,-0.10451744233452384,-0.10451744233452384,0.0,0.0,0.0,4.81745116460945
