ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-09-18,4.818773379714605,2.75599417825456,8.813425846678678,4.818773379714605,4.818773379714605,0.24110023217779425,0.24110023217779425,0.24110023217779425,0.23578218823917757,0.23578218823917757,0.23578218823917757,0.005318043938616665,0.005318043938616665,0.005318043938616665,0.0,0.0,0.0,5.98058076037597
2020-09-19,4.815961455757007,3.2108626033543324,9.49573884458051,4.815961455757007,4.815961455757007,0.2786723986312732,0.2786723986312732,0.2786723986312732,0.28288790180602463,0.28288790180602463,0.28288790180602463,-0.004215503174751452,-0.004215503174751452,-0.004215503174751452,0.0,0.0,0.0,6.15803698634857
2020-09-25,4.799089912011421,2.5670254743230534,8.956147336170625,4.799089912011421,4.799089912011421,0.18807221190682144,0.18807221190682144,0.18807221190682144,0.2357821882381554,0.2357821882381554,0.2357821882381554,-0.047709976331333934,-0.047709976331333934,-0.047709976331333934,0.0,0.0,0.0,5.701665366903122
2020-09-26,4.796277988053824,2.6785889079671055,8.96626551187411,4.796277988053824,4.796277988053824,0.2325675673298528,0.2325675673298528,0.2325675673298528,0.2828879018058299,0.2828879018058299,0.2828879018058299,-0.05032033447597714,-0.05032033447597714,-0.05032033447597714,0.0,0.0,0.0,5.911736691973223
2020-09-27,4.7934660640962266,1.2733152155300185,7.451675973907649,4.7934660640962266,4.7934660640962266,-0.10500678245872658,-0.10500678245872658,-0.10500678245872658,-0.053943982226171305,-0.053943982226171305,-0.053943982226171305,-0.051062800232555265,-0.051062800232555265,-0.051062800232555265,0.0,0.0,0.0,4.290119615880386
2020-10-01,4.782218368265837,0.8764500721911641,7.254658030624874,4.782218368265837,4.782218368265837,-0.1392068421672138,-0.1392068421672138,-0.1392068421672138,-0.10569023558456578,-0.10569023558456578,-0.10569023558456578,-0.033516606582648,-0.033516606582648,-0.033516606582648,0.0,0.0,0.0,4.116500850665504
2020-10-02,4.779406444308239,2.8397245235737993,8.973274989026612,4.779406444308239,4.779406444308239,0.21182042410147417,0.21182042410147417,0.21182042410147417,0.23578218823839858,0.23578218823839858,0.23578218823839858,-0.023961764136924413,-0.023961764136924413,-0.023961764136924413,0.0,0.0,0.0,5.791782344294929
2020-10-03,4.776594520350642,2.900812888646819,9.20612204906941,4.776594520350642,4.776594520350642,0.2703867222709412,0.2703867222709412,0.2703867222709412,0.28288790180572165,0.28288790180572165,0.28288790180572165,-0.012501179534780457,-0.012501179534780457,-0.012501179534780457,0.0,0.0,0.0,6.06812225632559
2020-10-05,4.770970672435446,1.03703360233526,7.346234608729843,4.770970672435446,4.770970672435446,-0.1631457871193524,-0.1631457871193524,-0.1631457871193524,-0.1785609422733585,-0.1785609422733585,-0.1785609422733585,0.015415155154006113,0.015415155154006113,0.015415155154006113,0.0,0.0,0.0,3.992606906757619
2020-10-09,4.759722976605056,3.0262414487847353,9.376920126957572,4.759722976605056,4.759722976605056,0.31959103286376883,0.31959103286376883,0.31959103286376883,0.2357821882385963,0.2357821882385963,0.2357821882385963,0.08380884462517248,0.08380884462517248,0.08380884462517248,0.0,0.0,0.0,6.2808877588436784
2020-10-10,4.7569110526474585,3.373564797507187,9.636528034775624,4.7569110526474585,4.7569110526474585,0.3844923407313636,0.3844923407313636,0.3844923407313636,0.282887901805527,0.282887901805527,0.282887901805527,0.10160443892583663,0.10160443892583663,0.10160443892583663,0.0,0.0,0.0,6.5859069179307745
2020-10-16,4.740039508901873,3.7004027014325342,9.831429428902997,4.740039508901873,4.740039508901873,0.42198256406149165,0.42198256406149165,0.42198256406149165,0.2357821882388395,0.2357821882388395,0.2357821882388395,0.18620037582265211,0.18620037582265211,0.18620037582265211,0.0,0.0,0.0,6.740253534621059
2020-10-17,4.737227584944275,3.9256583927571738,9.931598816221015,4.737227584944275,4.737227584944275,0.47645562493512816,0.47645562493512816,0.47645562493512816,0.2828879018062639,0.2828879018062639,0.2828879018062639,0.19356772312886425,0.19356772312886425,0.19356772312886425,0.0,0.0,0.0,6.994306314388828
2020-10-19,4.731603737029081,1.4131161153811052,7.833194655636688,4.731603737029081,4.731603737029081,0.021840008774970464,0.021840008774970464,0.021840008774970464,-0.17856094227327166,-0.17856094227327166,-0.17856094227327166,0.20040095104824213,0.20040095104824213,0.20040095104824213,0.0,0.0,0.0,4.8349420041654785
2020-10-23,4.7203560411986905,3.4895991186322677,9.79247288819078,4.7203560411986905,4.7203560411986905,0.4163049814137294,0.4163049814137294,0.4163049814137294,0.23578218823905997,0.23578218823905997,0.23578218823905997,0.18052279317466946,0.18052279317466946,0.18052279317466946,0.0,0.0,0.0,6.685463775196097
2020-10-24,4.717544117241093,3.586906869138843,9.759162614878015,4.717544117241093,4.717544117241093,0.45174330825701764,0.45174330825701764,0.45174330825701764,0.28288790180611245,0.28288790180611245,0.28288790180611245,0.1688554064509052,0.1688554064509052,0.1688554064509052,0.0,0.0,0.0,6.848663103612016
2020-10-30,4.700672573495508,2.8247018487841644,9.158351510622657,4.700672573495508,4.700672573495508,0.2959092438995844,0.2959092438995844,0.2959092438995844,0.23578218823930316,0.23578218823930316,0.23578218823930316,0.06012705566028129,0.06012705566028129,0.06012705566028129,0.0,0.0,0.0,6.0916450405380775
2020-10-31,4.69786064953791,3.173379262366011,9.348420411593608,4.69786064953791,4.69786064953791,0.3217153559174206,0.3217153559174206,0.3217153559174206,0.282887901805961,0.282887901805961,0.282887901805961,0.0388274541114596,0.0388274541114596,0.0388274541114596,0.0,0.0,0.0,6.209234560454443
2020-11-03,4.689424877665117,1.2331699672672094,7.486948696681373,4.689424877665117,4.689424877665117,-0.08813696540529041,-0.08813696540529041,-0.08813696540529041,-0.06565103875966762,-0.06565103875966762,-0.06565103875966762,-0.022485926645622795,-0.022485926645622795,-0.022485926645622795,0.0,0.0,0.0,4.276113199451639
